51.771	-4.2569
50.689	-7.5867
49.607	-10.916
48.525	-14.246
47.444	-17.576
46.362	-20.906
45.28	-24.236
44.198	-27.565
42.495	-31.673
40.174	-34.57
37.655	-37.297
34.952	-39.842
32.077	-42.191
29.045	-44.332
25.871	-46.257
22.569	-47.954
19.157	-49.417
14.734	-50.553
11.233	-50.553
7.7316	-50.553
4.2304	-50.553
0.72928	-50.553
-2.7719	-50.553
-6.273	-50.553
-9.7742	-50.553
-13.275	-50.553
-17.709	-49.954
-21.162	-48.592
-24.511	-46.991
-27.741	-45.16
-30.834	-43.108
-33.776	-40.844
-36.552	-38.379
-39.149	-35.726
-41.554	-32.898
-43.335	-30.891
-45.825	-29.47
-48.791	-28.344
-52.04	-27.368
-55.494	-26.341
-59.21	-24.857
-63.102	-21.01
-62.778	-15.259
-60.681	-11.727
-58.484	-8.8264
-56.401	-6.1136
-54.605	-3.4543
-53.335	-0.83355
-52.973	1.6847
-52.725	5.3887
-52.219	9.0663
-51.456	12.699
-50.441	16.27
-49.178	19.761
-47.674	23.155
-45.936	26.436
-43.973	29.586
-40.463	32.893
-36.353	34.481
-31.932	34.63
-28.174	33.946
-25.134	33.388
-24.298	33.368
-23.841	34.983
-23.475	38.318
-22.782	42.254
-20.845	46.345
-17.921	49.404
-13.522	51.246
-9.9018	52.067
-6.2328	52.632
-2.5332	52.939
1.1788	52.987
4.885	52.774
8.5672	52.303
12.207	51.575
15.788	50.594
19.816	46.814
21.483	42.801
22.164	38.929
22.517	35.451
23.052	32.756
23.507	32.125
25.617	32.164
28.854	32.826
32.563	33.516
36.773	33.592
41.003	32.44
44.264	30.081
46.867	28.673
49.906	27.502
53.214	26.382
56.773	24.988
60.674	22.159
61.889	16.257
60.081	12.232
58.006	9.1535
56.033	6.3451
54.37	3.6314
53.264	0.98199
